image_path,source_url,license,credit,notes
media/route-overview.png,https://github.com/alanhsun/baise-2026-10/blob/main/media/route-overview.png,original,本攻略原创绘制,文字与箭头路线示意；无第三方地图底图或摄影素材
media/baise-memorial.jpg,https://commons.wikimedia.org/wiki/File:Baise_Uprising_Memorial_Hall_(20230403093401).jpg,CC BY-SA 4.0,N509FZ,摄影日期：2023-04-03 09:34:01；未裁剪或改色，使用Commons缩略版本；许可：https://creativecommons.org/licenses/by-sa/4.0
media/yuedong-hall.jpg,https://commons.wikimedia.org/wiki/File:Former_site_of_the_Headquarters_of_the_7th_Army_of_Chinese_Workers%27_and_Peasants%27_Red_Army_(20230403090249).jpg,CC BY-SA 4.0,N509FZ,摄影日期：2023-04-03 09:02:49；未裁剪或改色，使用Commons缩略版本；许可：https://creativecommons.org/licenses/by-sa/4.0
media/quyang-lake.jpg,https://commons.wikimedia.org/wiki/File:%E6%B8%A0%E6%B4%8B%E6%B9%96-%E5%B2%9C%E8%92%99%E6%B0%B4%E5%BA%93%EF%BC%8C%E9%9D%96%E8%A5%BF%EF%BC%8C%E5%B9%BF%E8%A5%BF_Guangxi_05-10-13_-_panoramio.jpg,CC BY 3.0,jaysonh,摄影日期：Taken on 5 October 2013；未裁剪或改色，使用Commons缩略版本；许可：https://creativecommons.org/licenses/by/3.0
media/goose-spring-water.jpg,https://commons.wikimedia.org/wiki/File:20260212_E_Quan_(102247).jpg,CC BY-SA 4.0,Yumeto,摄影日期：2026-02-12 10:22:47；未裁剪或改色，使用Commons缩略版本；许可：https://creativecommons.org/licenses/by-sa/4.0
media/goose-spring-landscape.jpg,https://commons.wikimedia.org/wiki/File:20260212_E_Quan_(103545).jpg,CC BY-SA 4.0,Yumeto,摄影日期：2026-02-12 10:35:45；未裁剪或改色，使用Commons缩略版本；许可：https://creativecommons.org/licenses/by-sa/4.0
media/goose-spring-bridge.jpg,https://commons.wikimedia.org/wiki/File:20260212_E_Quan_(112500).jpg,CC BY-SA 4.0,Yumeto,摄影日期：2026-02-12 11:25:00；未裁剪或改色，使用Commons 1920px缩略版本；许可：https://creativecommons.org/licenses/by-sa/4.0
media/goose-spring-stelae.jpg,https://commons.wikimedia.org/wiki/File:20260212_Stelae_at_the_E_Quan.jpg,CC BY-SA 4.0,Yumeto,摄影日期：2026-02-12 10:17:42；未裁剪或改色，使用Commons 1920px缩略版本；许可：https://creativecommons.org/licenses/by-sa/4.0
media/jiuzhou-wenchang.jpg,https://commons.wikimedia.org/wiki/File:%E6%96%87%E6%98%8C%E9%98%81_(7164678729).jpg,CC BY-SA 2.0,Costi,摄影日期：2012-01-17 08:35；未裁剪或改色，使用Commons缩略版本；许可：https://creativecommons.org/licenses/by-sa/2.0
media/jiuzhou-village.jpg,https://commons.wikimedia.org/wiki/File:%E6%97%A7%E5%B7%9E_(7164677977).jpg,CC BY-SA 2.0,Costi,摄影日期：2012-01-17 08:51；未裁剪或改色，使用Commons缩略版本；许可：https://creativecommons.org/licenses/by-sa/2.0
media/tongling-waterfall.jpg,https://commons.wikimedia.org/wiki/File:TongLing_03.jpg,CC BY-SA 3.0,SEVEN,摄影日期：2005-05-03；未裁剪或改色，使用Commons缩略版本；许可：http://creativecommons.org/licenses/by-sa/3.0/
